name,short_url,address,road_address,mapx,mapy,insta_crawl,diora_info,hashtags,point_1,point_2,point_3,subway
카쩨,https://naver.me/G58eCJ4O,"서울특별시 서대문구 대현동 67-81 1층 102, 103호","서울특별시 서대문구 이화여대2길 26 1층 102, 103호",1269474362,375573677,"이대의 신상카페, 카쩨예요. 독일어로 ‘고양이’라는 이곳의 이름은, 이름이 지어진 운명같은 스토리가 있으니 가게 되시면 사장님께 그 스토리를 들어보시는 걸 추천합니다. 

  이대 분들 시험기간이실 것 같은데, 공간이 2개로 분리되어있어 카공 카페로도 추천합니다. 눈 오는 날 가면 특히 좋아요. 따뜻한 공간에서 눈 오는 밖을 보고 있자면, 노곤노곤해집니다. 

  두 공간이 분위기가 사뭇 다른데, 사장님이 계신 공간은 따뜻하면서도 힙한 게, 보문스러운 느낌이 나구요. 분리된 공간은 아기자기해서 연남동 같은 느낌이니 카공으로도 좋구요. ","고양이라는 뜻의, 눈 내리는 풍경의 따뜻한 공간에서 힐링할 수 있는 카페. 두 공간의 서로 다른 분위기로 카공족과 감성 충족 모두 가능!",#이대카페 #고양이카페 #카공카페 #눈오는날 #감성힐링,1. '카쩨'라는 이름은 독일어로 '고양이'라는 뜻이에요.,2. 가벽으로 나뉜 두 공간의 분위기 차이를 느껴보세요.,3.  사장님께서 커피유튜버 '삥타이거'의 팬이셔서 삥타이거 원두를 맛볼 수 있습니다.  ,이대역
식캣사인,https://naver.me/5bXJNQbW,서울특별시 용산구 원효로1가 51-2 2층,서울특별시 용산구 원효로83길 7-2 2층,1269677909,375400865,"따뜻하면서도 힙한 공간에서의 힐링을 찾고 계신다면 추천드리는 식캣사인이에요. 오랜만에 갔더니 의자가 쇼파로 바뀌었던데, 레트로틱하면서도 더욱 따뜻한 느낌이 들더라구요. 

 ‘아픈 고양이 신호’라는 이름에 맞게, 보금자리 같은 느낌입니다. 

#호박고구마케이크 

  이거 진짜 제가 좋아하는 고구마 케이크맛이에요. 이날 유독 좀 부드럽게 나왔다고 말씀하시기는 했지만, 진짜 약간 고구마 우유케이크? 느낌의 부드러운 고구마맛이 참 맛있더라구요. 

  질감도 촉촉하고 부드러워요. 아래 빵시트 사이에는 라즈베리잼?이 있는데 상콤해서 물리지 않고 끝까지 먹을 수 있게 해줘요. 약간 체리잼 같은 맛입니다. 

#자스민얼그레이밀크티 

  자스민이랑 얼그레이 둘 다 좋아하는데, 이거 맛있더라구요. 향긋하고 부드러운 밀크티이고, 사장님께서 말씀하신 대로 호박고구마케이크랑도 정말 잘 어울렸어요.",레트로틱하면서 따뜻한 분위기의 보금자리 같은 공간. 고구마 케이크와 밀크티의 환상적인 조합은 꼭 한번 경험해봐야 할 맛.,"#용산카페 #레트로감성 #호박고구마케이크 #따뜻함 #아늑함 #힐링카페

","1. '식캣사인'이라는 이름은 '아픈 고양이 신호'라는 뜻으로, 이름의 의미를 찾아보세요.","2. 90년대 한국 드라마가 나오는 TV, 다방 쇼파 같은 소품들로 레트로틱하면서 따뜻한 분위기를 느껴보세요.",3. 힙한 비주얼의 시즌 디저트들을 놓치지 마세요.,남영역
도틀,https://naver.me/5Cp45ocx,서울특별시 종로구 누하동 255 1층,서울특별시 종로구 필운대로 25-2 1층,1269690510,375783738,"서촌에서 작지만 아늑하고 알찬 공간에서 맛있는 디저트를 먹고 싶다면 추천드리는 도틀입니다. 

#우롱케이크 

  우롱티를 좋아해서 기대했는데, 생각보다는 차맛은 은은한 케이크였어요. 그래도 고고한 우유맛 생크림과 딸기 덕에 딸기케이크 느낌이고, 코코넛 슬라이스가 식감과 시원한 느낌을 줘요. 

  제누와즈도 우롱맛이었다면 좀 더 유니크한 매력이 있었을 것 같긴 합니다.

#피스타치오구움과자 

  요게 휘낭시에인 것 같은데, 진짜 맛있어요. 예전에 먹어봤을 때보다 더 쫀독하고 밀도있어진 휘낭시에가, 버터 풍미도 짙은 게 참 맛있더라구요. 

  거기에 달달한 피스타치오 가나슈가 올라가 고소하고, 버터크림을 함께 주세요. 작지만 달콤한 당충전에 딱 좋습니다.","아늑하고 알찬 공간에서 우롱티와 피스타치오 디저트로 차분한 디저트 타임을 즐길 수 있는 카페. 작은 디저트가 주는 큰 만족!
","#서촌카페 #우롱케이크 #피스타치오휘낭시에 #아늑한공간 #아담함

","1. 한옥의 특징을 살린 외관과 내부로, 서촌에 어울리는 한국적인 공간을 느껴보세요.",2. 아담하지만 우드 테이블과 의자로 따뜻한 공간입니다.,3. 독특한 비주얼의 시그니처 디저트를 놓치지 마세요.,경복궁역
록집,https://naver.me/xFLTNnAe,서울특별시 마포구 서교동 411-9 지층 우측,서울특별시 마포구 와우산로15길 37 지층 우측,1269214722,375489942,"락을 사랑하시나요? 락을 사랑하고 자연을 사랑하는 자유로운 영혼이라면 꼭 들려보셔야 할, 상수의 록집이에요. 

  가끔 공연도 열리는 카페이자 펍인데, 공간 분위기부터 너무 좋더라구요. 정말 자유분방하면서 힙하고 자기 색깔이 뚜렷한 공간이에요. 

  알코올 메뉴와 안주도 있지만 저는 록슈페너를 마셨는데, 바질 크림이 매력적이고, 커피가 고소한 편이라 부드럽게 잘 어울리더라구요. 

  자유롭고 유니크한 공간에서 힐링하고 영감을 얻고 싶으신 분들이라면 추천드립니다.","자유로운 영혼을 위한 락과 자연이 공존하는 공간. 유니크한 분위기 속에서 커피와 바질 크림의 특별한 조화를 느껴보세요.
","#상수카페 #록카페 #자유로운공간 #힙한분위기 #바질크림
","1. 자유분방한 의자와 테이블, 소품들로 자유로운 락 스피릿을 느껴보세요.",2. 한켠에는 가끔 열리는 공연을 위한 기타와 드럼이 놓여있어요.,3. 바질 크림이 올라간 독특한 시그니처 음료를 맛보세요.,상수역
미묘,https://naver.me/xHgsu2u3,서울특별시 서대문구 연희동 129-1 1층,서울특별시 서대문구 연희로11길 41 1층,1269292662,375682622,"#호지몽블랑빙수 

  참외빙수로 제 인생빙수에 등극한 미묘의 신메뉴예요. 평소에도 호지차를 참 좋아하고, 밤맛은 요즘 엄청 유행이죠. 

  먼저 내어주시는 따뜻한 쿠키 호지차는, 호지 줄기를 볶아 더욱 짙고 깊은 맛이에요. 다만 이 차는 호지맛이 정말 진한데 빙수는 호지차맛보다는 밤맛이 지배적이더라구요. 

  그래서 오히려 이 차를 먼저 마시고 빙수를 먹으니 호지맛이 더 옅게 느껴져서 조금 아쉽긴 했어요. 차라리 마지막에 쿠키호지차를 마셨으면 좋았을 것 같아요. 

  빙수의 보늬밤 크림은 부드러우면서도 달코옴한 밤맛이라 매력적이고, 보늬밤 다이스도 들어가있어요. 놀랐던 건 사과 퓨레와 밤의 조화였는데, 가을가을한 맛으로 둘이 너무 잘 어울려요. 

  카카오닙스 별로 안 좋아하는데도 이건 카카오 닙스와도 참 잘 어울리고, 달큰한 밤맛과 시원한 사과의 콜라보가 좋습니다. 

  중간에 동전을 하나 가져다 주시는데, 고양이 사진이 들어있는 가챠에 넣고 돌리면 뽑기를 할 수 있는 재밌는 놀이도 할 수 있습니다.",호지몽블랑빙수에서 밤맛과 사과의 조화가 돋보이는 가을 디저트를 즐기세요. 쿠키호지차와 함께 고양이 가챠 뽑기까지 더해진 재미!,#호지몽블랑빙수 #밤디저트 #참외빙수 #연희동디저트 #고양이가챠,1. 섬세한 레이어의 독특한 비주얼과 맛의 빙수를 맛보세요.,2. 화이트톤의 깔끔하고 정갈한 내부입니다.,3. 고양이 가챠에서 고양이 사진을 뽑아보세요.,*홍대입구역
비바보사,https://naver.me/5sst22w2,서울특별시 서대문구 연희동 218-19 2층,서울특별시 서대문구 동교로 296 2층,1269278845,375651560,"연희동에서 시원한 가을 단풍뷰로 힐링할 수 있는 비바보사예요. 널찍한 공간감에 깔끔한 미드센츄리 가구들로 시크함을 더했어요. 

  창문들이 다 길쭉해서 참 시원하게 열린 공간입니다. 창밖의 가을가을한 뷰로 가을을 듬뿍 느낄 수 있는 곳이에요. 

  여름에 와도 시원한 창밖을 즐길 수 있을 것 같습니다. 음료는 티에이드 몰디브로 마셨는데, 정말 휴양지에서 마시는 것 같은 달달하고 산뜻한 에이드였어요. 에이드가 되게 맛있더라구요. 

  작업하시는 분들도 많은 것 같던데, 이런 곳에서 작업하면 답답한 가슴 뻥 뚫릴 것 같습니다. ",연희동에서 단풍뷰를 즐길 수 있는 넓고 시원한 공간. 미드센추리 감성과 산뜻한 티에이드로 가을 힐링 완성!,#연희동카페 #단풍뷰카페 #미드센추리감성 #티에이드 #힐링카페,1. 커다란 통창뷰로 탁 트인 시야입니다.,2. 널찍한 공간에 미드센추리 가구들로 시크한 카공 공간입니다.,3. 시그니처 티에이드가 달콤하고 맛있어요.,*홍대입구역
텅,https://naver.me/5cwtjazL,서울특별시 종로구 운니동 98-20 701호,서울특별시 종로구 율곡로 82 701호,1269881544,375771872,"경복궁과 창덕궁 사이에 위치한 안국은 한국의 전통적인 아름다움과 동시에 요즘 한국의 젊은 세대들에게 인기있는 장소로 주목받고 있습니다.

예쁜 카페나 맛집, 데이트하기 좋은 곳이 많은데, 그 중에서도 특히 추천하고 싶은 것이 카페 '텅'입니다. 7층에 위치한 이 카페는 멋진 전망을 즐길 수 있는 것이 매력입니다.

커다란 유리창을 통해 창덕궁의 경치를 감상하며 독창적인 음료와 디저트를 즐길 수 있습니다. 특히 추천 메뉴는 밤 티라미수입니다.

요즘 한국에서 넷플릭스 프로그램 '흑백요리사'가 유행하는 거 아세요? 한국 젊은이들 사이에서는 모르는 사람이 없을 정도로 인기가 많고, 매우 재미있기 때문에 꼭 한번 보세요.

안국에서 밤 티라미수를 맛보면서 그야말로 '지금'의 한국을 느낄 수 있을 것입니다.",창덕궁 경치를 감상하며 밤 티라미수를 즐길 수 있는 카페 '텅'. 한국 전통과 현대 감성이 공존하는 안국에서 특별한 시간을!,#안국카페 #창덕궁뷰 #밤티라미수 #한국전통 #데이트명소,1. 7층의 커다란 통창뷰로 보이는 창덕궁 경치는 한국스러운 분위기를 줍니다. ,2. 카공하기 좋은 테이블과 스탠드로 유명한 카공 맛집입니다.,3. 독특한 디저트와 음료를 맛보세요.,안국역
코에오 COEO,https://naver.me/xrcrrtxV,서울특별시 성동구 성수동2가 269-70 . 1층,서울특별시 성동구 성수이로16길 45 . 1층,1270614445,375397680,"성수에서 오래도록 많은 사랑을 받고 있는 카페라고 하면 코에오인 것 같더라구요. 새로운 곳들만 가도 항상 새로운 성수에서, 이렇게 계속해서 많은 분들께 사랑을 받는 곳이라면 이유가 있을 것 같았어요. 

  그런데 방문해보니 그 이유를 알겠더라구요. 통창을 활짝 열어 요즘 날씨에 딱인 야외 공간과 이어지도록 되어있는데, 개방적인 공간이 지나가는 모두를 환영하는 듯하고, 매장 안팎의 우드톤은 더욱 따뜻한 느낌을 줘요. 

  Coffee, Human, Lovelife 라는 코에오의 감성이 가득 느껴지는 포근하면서도 오픈된 공간이었던 것 같아요. 

  커피는 콜롬비아 캄포 에르모소 핑크버본 아이스로 마셨는데, 스트로베리향의 상콤함에 시원하고 깔끔해서 여름에 딱이었어요. 

  피스타치오아이스크림이 올라간 푸딩은 부들탱글한데, 달달한 바닐라맛의 탱그르르한 푸딩이에요. 쌉싸름한 카라멜은 고급지고, 고소한 피스타치오 아이스크림은 시원합니다. ",성수의 인기 카페 '코에오'는 개방적이고 따뜻한 공간에서 스트로베리 향의 시원한 커피와 피스타치오 아이스크림 푸딩을 즐길 수 있는 곳.,#성수카페 #따뜻함 #피스타치오푸딩 #커피와디저트 #오픈된공간,1. 야외공간에 여유롭게 앉아 커피 한잔할 수 있는 분위기가 매력이에요.,2. 밝은 우드톤의 공간이 따뜻하고 친근한 느낌을 줍니다.,"3. 커피 맛집이면서, 피스타치오 아이스크림이 올라간 푸딩이 독특합니다.",건대입구역
힐스오브북스,https://naver.me/xl0rofr5,서울특별시 마포구 망원동 423-17 동남빌딩 4층,서울특별시 마포구 망원로 75-1 동남빌딩 4층,1269053642,375575868,"오늘처럼 비 오는 날 가기 좋은, 오픈 하신지 한 달이 채 안 된 망원 신상 북카페예요. 4층을 올라가는 동안은 조금 힘들지만, 4층에 위치한 이 다락방 같은 공간을 마주하시면 사랑에 빠질 겁니다. 

  살짝 석양이 질 때쯤 가서 밤까지 느지막히 계셔보시는 걸 추천드려요. 옛날 책들과 나무 의자들, 레트로한 소품과 커튼이 주는 분위기가, 하나의 커다란 자개장 같은 느낌을 주더라구요. 

  소품 중에 자개장이 있었는가 없었는가 기억은 안 나는데, 암튼 그곳의 이미지는 제게 그랬습니다. 직접 만드셨다는 #콤부차 와 카라멜 토스트를 먹어봤는데, 콤부차 진짜 수제맛이라 맛있더라구요. 

  #카라멜토스트 는, 겉은 까삭달달한 시럽이랑 안에는 고소한 하바티 치즈 + 짭쪼름한 체다의 조합이라 참 맛있어요. 저는 살라미까지 더해진 버전으로 먹었는데, 와인 땡기는 짭쪼름한 맛이었어요. ",망원 신상 북카페는 레트로한 분위기 속에서 콤부차와 카라멜 토스트를 즐길 수 있는 곳. 비 오는 날 석양과 함께 여유로운 시간을 보내기 좋은 다락방 같은 공간.,#망원카페 #북카페 #콤부차 #카라멜토스트 #레트로감성,1. 4층을 올라가면 펼쳐지는 레트로틱한 비밀 공간입니다. ,2. 플랜테리어로 푸릇푸릇한 분위기에서 책을 읽을 수 있는 북카페예요.,3. 시그니처인 토스트를 먹어보세요.,망원역
카페 마,https://naver.me/FtueQ5VH,서울특별시 서대문구 연희동 433-6,서울특별시 서대문구 연희로11가길 48-10,1269274411,375669713,"올레무스 2호점이죠. 저는 그 유명한 무화과 멜바를 올해 처음 먹어보는데, 역시 많은 분들이 찾는 이유가 있더라구요. 작년과 조금 달라졌다는 후기도 봤는데 전 버전도 궁금해지는 맛이었어요.

#무화과멜바

탑스럽게 올라간 딜-펜넬씨드 아이스크림은 향긋한 허브향이 나는데 이게 정말 대박이에요. 원래 이런 향을 좋아하는 편은 아닌데 이건 굉장히 매력있더라구요. 스무스 하면서도 쫀득한 질감이고, 위에 뿌려진 건 엑스트라 버진 오일 맛이 났어요. 너무 과하지도 않고 향긋함을 더해주는데 아주 잘 어울려요. 아 위에 깨를 뿌려주는 것도 참 디테일한데 너무 잘 어울려서 인상깊었어요.

개인적으로는 이 아이스크림이 매력적이라 향이 조금 더 강하게 나도 좋을 것 같아요. 아몬드 크럼블도 정말 고소하고 담백한 게 먹어본 크럼블 중에서도 꽤나 맛있는 편이에요. 바삭하면서도 아래 깔려있어 녹진한 부분도 있어요. 크럼블에 뒤섞인 무화과랑 향긋한 아이스크림이 정말 잘 어울립니다.

크럼블 안쪽에는 서양배소르베도 있는데 탱크보이의 덜 달고 고급버전이에요. 겉에 둘러진 마른 장미 색깔이 히비스커스가 아닐까 싶은데 존재감이 두드러지진 않지만 없으면 안 될 것 같은, 딱 베이스를 깔아주는 맛이라서 이런 점들이 이 디저트가 얼마나 섬세하게 다듬어진 것인지 짐작할 수 있게 했습니다.","허브 향 아이스크림과 무화과, 아몬드 크럼블이 어우러진 감각적인 디저트로 섬세한 디테일까지 놓치지 않은 디저트 맛집! 널찍하고 시크한 미드센추리 감성 공간.
",#미드센추리 #무화과멜바 #감각적인디저트 #허브아이스크림 #널찍함 #카공,1. 널찍한 공간에 미드센추리 가구들로 깔끔한 공간입니다.,2. 시그니처 아이스크림과 독특한 디저트들을 놓치지 마세요.,3. 여유로운 연희동의 분위기를 담은 곳입니다.,*홍대입구역
콘웰,https://naver.me/G9t5sDIe,서울특별시 마포구 망원동 382-14 2층 콘웰커피,서울특별시 마포구 월드컵로15길 40 2층 콘웰커피,1269081589,375552225,"시나몬향 솔솔 빵 위에 바밤바맛 진한 달콤 아이스크림, 보늬밤까지! 🤎",블랙 앤 화이트의 널찍하고 시크한 공간에서 맛있는 디저트!,#시크함 #널찍함 #카공 #디저트맛집,1. 블랙앤화이트의 시크한 공간 분위기를 느껴보세요.,2. 예쁜 비주얼의 디저트를 맛보세요.,3. 콘센트가 있어 카공하기에도 좋습니다.,망원역
미크,https://naver.me/FiO4JlEB,서울특별시 송파구 송파동 15-3 1층 104호,서울특별시 송파구 송파대로 458 1층 104호,1271056036,375075274,"석촌에 위치한 시크한 느낌의 곳이에요. 카공하시는 분들도 많고, 데이트오신 분들도 많네요. 디저트도 맛있어보이길래 먹어봤는데, 생각보다도 더 맛있었어요.

#무화과피스타치오푸딩 

  저는 무화과랑 피스타치오 조합을 제일 좋아하는데, 이거 맛있더라구요. 피쵸크림이 생각보다 진한데, 꼬소한 맛에 안에 닐라웨이퍼도 달달한 계란과자맛 많이 나고 촉촉해요. 

  무화과도 엄청 싱싱해요. 중간중간 무화과 잼까지 있어서 더 짙은 가을맛을 느낄 수 있습니다. ","블랙, 화이트, 그레이의 널찍하고 시크한 공간에서 카공이나 데이트를 하며 맛있는 디저트! ",#시크함 #널찍함 # 카공 #데이트 #힙함,1. 널찍하고 블랙앤화이트의 시크한 공간이에요.,2. 화려한 비주얼의 디저트 종류가 매우 다양합니다.,3. 송리단길에 위치해 데이트에도 ,석촌역
우토포스,https://naver.me/x3jmJaCS,서울특별시 서초구 방배동 769-17 1층,서울특별시 서초구 방배로39길 42-7 1층,1269866729,374945134,"항상 궁금했던 곳인데, 방배동에서 보기 드문 힙한 카페입니다. 약간 서부 캘리포니아 바이브의 와일드하면서 자유분방한 느낌을 줘요. 

  특히나 여기 시그니처 메뉴가 #라임모히또라떼 길래, 서부에서 마시던 필즈커피의 민트모히또가 생각나 주문해봤어요. 

  모히또맛은 살짝만 솔솔 나는 느낌이라 저는 좀 더 진하면서도 커피랑 부드럽게 어우러졌으면 했지만, 처음 드셔보시는 분들한테는 나쁘지 않은 첫 시도가 될 것 같아요. 

  귀여운 시바견 푸우와 함께 방배동의 캘리포니아 즐기러 와보시는 것을 추천드립니다.","방배동에서 만나는 서부 캘리포니아 바이브의 힙한 카페! 시그니처 라임 모히또 라떼와 귀여운 시바견 푸우까지, 자유롭고 와일드한 감성을 느끼기에 딱 좋은 공간.",#방배동카페 #캘리포니아감성 #라임모히또라떼 #힙한카페 #시바견과함께,1. 와일드하면서도 자유분방함이 느껴지는 캘리포니아 서부 바이브를 느껴보세요. ,2. 실제 서부에서 마시던 필즈커피가 떠오르는 라임모히또 라떼를 놓치지 마세요.,3. 귀여운 시바견 푸우가 있어요.,구반포역
보케,https://naver.me/xI2v3VaE,서울특별시 서대문구 연희동 135-8 2층 좌측,서울특별시 서대문구 연희로 116 2층 좌측,1269320595,375680114,"올해 먹은 무화과 산도 중 원탑..! 꿀 무화과에 폭신한 우유식빵, 달달크림!","붉은색 바닥과 의자가 인상적인, 널찍한 미드센추리 감성 카페! 산도와 케이크 맛집",#산도맛집 #미드센추리 #널찍함 #카공 #케이크맛집,1. 붉은색 바닥과 의자로 독특한 분위기를 자아내요.,2. 네잎클로버 케이크와 산도 맛집입니다.,3. 미드센추리 가구들로 시크한 분위기예요.,*홍대입구역
페로몬,https://naver.me/FPe0K2e1,서울특별시 성동구 성수동1가 14-57 3층,서울특별시 성동구 상원2길 5 3층,1270495139,375459620,촉촉향긋한 얼그레이 밀크티맛 크림에 생무화과와 무화과잼!,"우드, 블랙, 실버의 시크한 공간에 유니크한 디저트의 성수동 카페!",#유니크 #디저트 #시크함 #블랙,1. 매우 유니크한 시그니처 머랭 치즈케이크를 놓치지 마세요.,"2. 우드, 블랙, 실버의 시크하고 깔끔한 분위기입니다.",,뚝섬역
클럼지베이커리,https://naver.me/5ne4j9Gw,서울특별시 용산구 한강로1가 231-11 1층,서울특별시 용산구 한강대로54길 31 1층,1269733957,375324772,산뜻한 라즈베리크림에 고소함이 진한 크럼블..! 카라멜로 감칠맛까지!,꾸덕 묵직하게 미국스러운 디저트를 파는 귀여운 베이커리!,#귀여움 #미국식 #디저트 #베이커리,1. 꾸덕 묵직한 시그니처 디저트를 놓치지 마세요.,2. 미국 베이커리 분위기의 공간입니다.,,삼각지역
크레뮤클럽,https://naver.me/55ydXhZJ,서울특별시 송파구 송파동 40 2층,서울특별시 송파구 백제고분로45길 21 2층,1271091832,375098554,짙은 말차맛 푸딩과 달코옴한 바밤바맛 크림 + 무화과!,블랙앤화이트 널찍한 송리단길 카페! 데이트에 제격인 다양한 디저트와 시크한 공간,#블랙앤화이트 #시크함 #널찍함 #디저트 #데이트,1. 전체적으로 블랙앤화이트로 시크한 분위기예요.,"2. 치즈케이크, 프렌치토스트 등 다양한 디저트를 놓치지 마세요.",3. 널찍해서 카공으로도 좋고 혼카페도 좋아요.,송파나루역
고로커피로스터스,https://naver.me/5AcvWbmb,서울특별시 관악구 봉천동 100-137,서울특별시 관악구 남부순환로231길 33,1269579439,374807574,찐한 흑임자 크림과 바닐라크림! 작년 무화과 케이크 1등!,"따뜻한 우드톤 공간에서 맛있는 디저트, 커피맛집!",#따뜻함 #우드톤 #디저트 #커피맛집,1. 전체적인 우드톤은 따뜻한 느낌을 줍니다.,"2. 커피맛집으로, 다양한 원두를 맛보세요.",3. 시즌 디저트도 맛집입니다.,서울대입구역
